WKT,LANUV_ID,Leistung_k
"MULTIPOINT ((505029.2433 5729257.8997))","0213",1223.20000000000
"MULTIPOINT ((467168.2948 5740924.3748))","0268",998.40000000000
"MULTIPOINT ((343421.3306 5744287.8353))","0508",749.36000000000
"MULTIPOINT ((433775.7696 5744909.3252))","0082",499.50000000000
"MULTIPOINT ((346855.0853 5745062.3108))","0509",749.76000000000
"MULTIPOINT ((373467.5204 5760353.8055))","0511",98.70000000000
"MULTIPOINT ((381898.1283 5773083.4335))","0414",3963.96000000000
"MULTIPOINT ((464341.57 5798737.641))","0127",1046.60000000000
"MULTIPOINT ((470807.8065 5806078.4242))","0207",1468.80000000000
"MULTIPOINT ((475909.9925 5809477.3235))","0260",1497.60000000000
"MULTIPOINT ((475836.2058 5809624.6249))","0134",1635.60000000000
"MULTIPOINT ((475826.0554 5809799.9785))","0133",2122.50000000000
"MULTIPOINT ((319945.0945 5625310.5989))","0435",749.60000000000
"MULTIPOINT ((477479.6957 5735584.1427))","0164",86.58000000000
"MULTIPOINT ((381362.7644 5772981.4521))","0341",748.44000000000
"MULTIPOINT ((407224.4172 5796846.2117))","0073",1029.00000000000
"MULTIPOINT ((417380.0416 5709202.4778))","0427",700.15000000000
"MULTIPOINT ((470845.002 5724703.485))","0105",30.82000000000
"MULTIPOINT ((471539.7642 5724976.2139))","0165",89.76000000000
"MULTIPOINT ((352620.3207 5728332.1173))","0086",604.00000000000
"MULTIPOINT ((504949.1845 5729526.2996))","0206",144.96000000000
"MULTIPOINT ((511230.1924 5737380.6225))","0519",99.00000000000
"MULTIPOINT ((509579.487 5747229.6289))","0168",1495.00000000000
"MULTIPOINT ((371651.8436 5751489.4444))","0146",1080.00000000000
"MULTIPOINT ((371727.7975 5751627.377))","0521",749.99000000000
"MULTIPOINT ((422532.5737 5776397.3681))","0536",32.49500000000
"MULTIPOINT ((496825.6799 5800058.8226))","0229",1008.00000000000
"MULTIPOINT ((448224.432 5649972.776))","0279",181.05000000000
"MULTIPOINT ((466663.8118 5716273.8433))","0290",749.92500000000
"MULTIPOINT ((504941.0218 5729537.4133))","0204",640.40000000000
"MULTIPOINT ((426351.5012 5732140.4243))","0543",1498.69000000000
"MULTIPOINT ((504062.8525 5742508.7253))","0418",551.88000000000
"MULTIPOINT ((489425.5788 5762616.1058))","0333",744.80000000000
"MULTIPOINT ((411200.3902 5801832.9637))","0248",999.60000000000
"MULTIPOINT ((312232.2334 5660815.2382))","0553",749.62500000000
"MULTIPOINT ((312214.3356 5660818.7845))","0554",1380.00000000000
"MULTIPOINT ((442483.8567 5679000.3981))","0558",80.73000000000
"MULTIPOINT ((472585.4555 5693066.3956))","0560",749.36000000000
"MULTIPOINT ((426319.85 5732251.009))","0583",749.71000000000
"MULTIPOINT ((400468.375 5701945.1771))","0561",749.28000000000
"MULTIPOINT ((400468.375 5701945.1771))","0562",278.64000000000
"MULTIPOINT ((490926.8603 5702327.9634))","0563",99.78000000000
"MULTIPOINT ((425170.3717 5705876.1342))","0565",416.50000000000
"MULTIPOINT ((453916.4178 5707183.6493))","0567",750.00000000000
"MULTIPOINT ((465106.9373 5722036.8505))","0569",741.76000000000
"MULTIPOINT ((320654.0177 5724973.9457))","0570",4349.43000000000
"MULTIPOINT ((506408.7149 5768314.9051))","0578",749.83000000000
"MULTIPOINT ((495760.442 5755668.371))","0585",3824.48000000000
"MULTIPOINT ((495816.005 5755646.94))","0586",1614.79000000000
"MULTIPOINT ((495709.642 5755658.846))","0587",1323.53000000000
"MULTIPOINT ((495760.442 5755668.371))","0588",2985.32000000000
"MULTIPOINT ((339117.3945 5749028.5454),(339117.3945 5749028.5454),(339117.3945 5749028.5454))",,28.71000000000
"MULTIPOINT ((337394.2051 5719265.266))","0022",15.39000000000
"MULTIPOINT ((363569.3634 5719105.4472))","0443",0.56000000000
"MULTIPOINT ((439135.5305 5704117.2918))","0564",11.70000000000
"MULTIPOINT ((425788.8804 5697791.2376),(425788.8804 5697791.2376))",,16.40000000000
"MULTIPOINT ((309487.4783 5701081.4711))","0318",2.25000000000
"MULTIPOINT ((484084.0812 5722320.4978))","0530",9.75000000000
"MULTIPOINT ((334642.9391 5665880.2254))","0454",13.32000000000
"MULTIPOINT ((470986.8903 5760879.8339))","0486",4.79000000000
"MULTIPOINT ((440992.084 5640002.2302),(440992.084 5640002.2302),(440992.084 5640002.2302))",,9.30500000000
"MULTIPOINT ((322032.9886 5738986.9155),(322032.9886 5738986.9155))",,25.22000000000
"MULTIPOINT ((468315.9876 5735050.8603),(468315.9876 5735050.8603))",,19.68000000000
"MULTIPOINT ((506740.5202 5771212.5017),(506740.5202 5771212.5017),(506740.5202 5771212.5017))",,7.70500000000
"MULTIPOINT ((315094.5849 5645142.7088))","0524",0.60000000000
"MULTIPOINT ((370712.9498 5630793.9176))","0481",2.31000000000
"MULTIPOINT ((372102.0519 5692497.4832))","0541",2.00000000000
"MULTIPOINT ((407417.0294 5653824.1648),(407417.0294 5653824.1648))",,5.64000000000
"MULTIPOINT ((375258.7397 5663770.4531),(375258.7397 5663770.4531))",,44.00000000000
"MULTIPOINT ((314416.312 5736675.7003))","0258",3.36000000000
"MULTIPOINT ((368070.0914 5661207.2294),(368070.0914 5661207.2294),(368070.0914 5661207.2294))",,12.81200000000
"MULTIPOINT ((339731.515 5699066.9871))","0500",5.52000000000
"MULTIPOINT ((503779.1732 5744198.9469),(503779.1732 5744198.9469),(503779.1732 5744198.9469))",,42.32000000000
"MULTIPOINT ((334320.5405 5714364.1552))","0426",0.60000000000
"MULTIPOINT ((333896.8184 5749518.9935),(333896.8184 5749518.9935),(333896.8184 5749518.9935))",,20.72000000000
"MULTIPOINT ((466985.12 5770599.0707))","0438",6.96000000000
"MULTIPOINT ((385422.662 5693119.0856),(385422.662 5693119.0856))",,9.74000000000
"MULTIPOINT ((430703.7329 5684828.7306))","0033",27.60000000000
"MULTIPOINT ((517728.6613 5713968.3883),(517728.6613 5713968.3883))",,28.35000000000
"MULTIPOINT ((338597.4554 5650222.4687))","0491",3.70000000000
"MULTIPOINT ((367876.3942 5686709.6324))","0433",19.80000000000
"MULTIPOINT ((429426.825 5642018.4397))","0015",10.80000000000
"MULTIPOINT ((405211.4099 5720003.4012))","0529",1.74000000000
"MULTIPOINT ((366853.6382 5609853.2594))","0299",9.66000000000
"MULTIPOINT ((499783.7642 5805518.6482),(499783.7642 5805518.6482),(499783.7642 5805518.6482),(499783.7642 5805518.6482))",,13.24500000000
"MULTIPOINT ((358893.5981 5680356.5226))","0016",30.00000000000
"MULTIPOINT ((376706.0403 5698820.1351))","0472",4.10000000000
"MULTIPOINT ((323098.3894 5585618.576))","0076",9.45000000000
"MULTIPOINT ((335745.0501 5586580.3745),(335745.0501 5586580.3745),(335745.0501 5586580.3745),(335745.0501 5586580.3745),(335745.0501 5586580.3745))",,13.49000000000
"MULTIPOINT ((367276.5926 5620346.1511))","0488",30.00000000000
"MULTIPOINT ((295971.7826 5659863.4217))","0380",5.00000000000
"MULTIPOINT ((379174.2945 5671075.0904))","0453",0.41000000000
"MULTIPOINT ((495679.1676 5731964.5994))","0116",1.80000000000
"MULTIPOINT ((358260.774 5763294.4787),(358260.774 5763294.4787))",,18.68000000000
"MULTIPOINT ((393094.4182 5701583.8394))","0378",3.30000000000
"MULTIPOINT ((454269.0086 5726495.8629))","0363",0.62000000000
"MULTIPOINT ((301221.657 5731080.6501))","0017",12.50000000000
"MULTIPOINT ((407817.3534 5645893.0369))","0350",9.00000000000
"MULTIPOINT ((308384.9109 5688604.7913),(308384.9109 5688604.7913),(308384.9109 5688604.7913),(308384.9109 5688604.7913),(308384.9109 5688604.7913))",,18.26000000000
"MULTIPOINT ((436101.9554 5621347.6589),(436101.9554 5621347.6589))",,18.21000000000
"MULTIPOINT ((428407.5665 5755704.3131))","0482",3.00000000000
"MULTIPOINT ((342614.0615 5629183.2825))","0517",5.76000000000
"MULTIPOINT ((398449.8058 5653313.5198))","0552",9.90000000000
"MULTIPOINT ((398986.1684 5781363.2045))","0297",19.74000000000
"MULTIPOINT ((300178.192 5666290.284))","0456",0.60000000000
"MULTIPOINT ((393046.9565 5759328.7401))","0322",9.72000000000
"MULTIPOINT ((384425.3114 5707495.3483))","0485",3.30000000000
"MULTIPOINT ((329755.5602 5701925.4672))","0446",0.55000000000
"MULTIPOINT ((357002.5813 5664152.1462))","0556",0.80000000000
"MULTIPOINT ((367386.9657 5614615.5265))","0442",0.44000000000
"MULTIPOINT ((314272.9398 5630759.1149))","0019",2.04000000000
"MULTIPOINT ((369237.8383 5690940.4198))","0514",5.10000000000
"MULTIPOINT ((311073.4376 5610271.8328))","0344",9.60000000000
"MULTIPOINT ((451106.2063 5771802.0348))","0324",11.60000000000
"MULTIPOINT ((450013.7725 5724338.5999),(450013.7725 5724338.5999))",,4.72000000000
"MULTIPOINT ((354982.7663 5609076.4368))","0546",5.60000000000
"MULTIPOINT ((456861.2062 5752292.8377),(456861.2062 5752292.8377))",,7.02000000000
"MULTIPOINT ((388421.9489 5778394.3794))","0535",0.66000000000
"MULTIPOINT ((452292.4677 5718015.7155),(452292.4677 5718015.7155))",,9.20000000000
"MULTIPOINT ((397060.8884 5721100.9668))","0295",19.74000000000
"MULTIPOINT ((388148.1441 5663489.3044))","0392",5.00000000000
"MULTIPOINT ((349627.1195 5704610.1217))","0445",6.50000000000
"MULTIPOINT ((368477.8836 5700783.2163))","0027",30.00000000000
"MULTIPOINT ((327788.0023 5653798.3366))","0020",6.90000000000
"MULTIPOINT ((387486.9936 5701969.0515))","0527",0.37000000000
"MULTIPOINT ((397025.6028 5639970.4208),(397025.6028 5639970.4208))",,0.89000000000
"MULTIPOINT ((420194.6264 5646355.8653))","0459",0.57000000000
"MULTIPOINT ((462829.4591 5808708.1078),(462829.4591 5808708.1078))",,13.24000000000
"MULTIPOINT ((466339.7612 5672811.7668))","0361",5.72000000000
"MULTIPOINT ((454069.9734 5765942.6205),(454069.9734 5765942.6205))",,21.84000000000
"MULTIPOINT ((420418.3473 5673810.677))","0451",9.92000000000
"MULTIPOINT ((411857.1902 5792687.9671))","0035",10.50000000000
"MULTIPOINT ((408422.5007 5688983.8406))","0006",7.17500000000
"MULTIPOINT ((430800.5864 5672493.5854))","0032",6.00000000000
"MULTIPOINT ((386032.7137 5682544.0445),(386032.7137 5682544.0445))",,5.20000000000
"MULTIPOINT ((477323.7098 5672984.8705))","0142",9.88000000000
"MULTIPOINT ((462745.0706 5752555.9814),(462745.0706 5752555.9814),(462745.0706 5752555.9814),(462745.0706 5752555.9814),(462745.0706 5752555.9814),(462745.0706 5752555.9814))",,54.01000000000
"MULTIPOINT ((506409.3512 5706934.0863),(506409.3512 5706934.0863),(506409.3512 5706934.0863),(506409.3512 5706934.0863),(506409.3512 5706934.0863),(506409.3512 5706934.0863))",,65.29000000000
"MULTIPOINT ((415295.2344 5776311.7804))","0580",1.20000000000
"MULTIPOINT ((462504.3488 5758801.0838))","0576",0.60000000000
"MULTIPOINT ((434120.8901 5692861.5277),(434120.8901 5692861.5277))",,1.74000000000
"MULTIPOINT ((457486.2192 5761169.7537),(457486.2192 5761169.7537),(457486.2192 5761169.7537),(457486.2192 5761169.7537),(457486.2192 5761169.7537))",,8.42000000000
"MULTIPOINT ((317237.5608 5591697.3513))","0288",7.80000000000
"MULTIPOINT ((321795.5738 5630708.2572))","0549",0.30000000000
"MULTIPOINT ((460210.8448 5739186.3681),(460210.8448 5739186.3681),(460210.8448 5739186.3681),(460210.8448 5739186.3681),(460210.8448 5739186.3681))",,54.18000000000
"MULTIPOINT ((394811.4615 5695415.428),(394811.4615 5695415.428))",,23.76000000000
"MULTIPOINT ((362801.0858 5659878.0258),(362801.0858 5659878.0258),(362801.0858 5659878.0258),(362801.0858 5659878.0258))",,36.24000000000
"MULTIPOINT ((485615.6716 5787902.5702))","0436",3.66000000000
"MULTIPOINT ((338772.7283 5686365.5834))","0340",0.55000000000
"MULTIPOINT ((484718.1166 5759091.0423),(484718.1166 5759091.0423))",,3.30000000000
"MULTIPOINT ((475431.113 5785717.3661),(475431.113 5785717.3661))",,21.36000000000
"MULTIPOINT ((496723.5795 5785922.7721))","0537",0.58000000000
"MULTIPOINT ((463668.4878 5765830.8238))","0409",1.41000000000
"MULTIPOINT ((371674.8456 5724761.414))","0571",2.64000000000
"MULTIPOINT ((474202.3583 5795562.7946),(474202.3583 5795562.7946))",,29.19000000000
"MULTIPOINT ((394179.5638 5692280.4902))","0559",0.68000000000
"MULTIPOINT ((492368.9423 5751023.0345))","0441",0.32500000000
"MULTIPOINT ((342007.098 5744663.1606),(342007.098 5744663.1606))",,16.38000000000
"MULTIPOINT ((335535.5168 5735863.9656),(335535.5168 5735863.9656),(335535.5168 5735863.9656),(335535.5168 5735863.9656),(335535.5168 5735863.9656),(335535.5168 5735863.9656))",,60.38000000000
"MULTIPOINT ((472455.3657 5695280.427),(472455.3657 5695280.427))",,10.15000000000
"MULTIPOINT ((287579.5838 5655433.5457))","0050",2.04000000000
"MULTIPOINT ((350501.3799 5649125.3336))","0468",6.48000000000
"MULTIPOINT ((472516.2052 5724898.6442),(472516.2052 5724898.6442))",,5.00000000000
"MULTIPOINT ((428538.3672 5706132.2345),(428538.3672 5706132.2345),(428538.3672 5706132.2345),(428538.3672 5706132.2345))",,62.96000000000
"MULTIPOINT ((349922.137 5770223.0543),(349922.137 5770223.0543))",,45.50000000000
"MULTIPOINT ((345812.6115 5660548.6006),(345812.6115 5660548.6006))",,5.41000000000
"MULTIPOINT ((412186.1301 5753274.5443))","0154",4.60000000000
"MULTIPOINT ((300926.4605 5615622.7331))","0367",0.60000000000
"MULTIPOINT ((361937.0712 5734460.2278))","0398",3.50000000000
"MULTIPOINT ((376114.7556 5710026.2839))","0306",0.60000000000
"MULTIPOINT ((422861.1024 5663853.8355))","0455",3.24000000000
"MULTIPOINT ((465670.9474 5787387.906))","0512",3.00000000000
"MULTIPOINT ((359771.2005 5723934.2702))","0308",9.90000000000
"MULTIPOINT ((378341.8383 5612706.8738),(378341.8383 5612706.8738))",,13.36000000000
"MULTIPOINT ((365987.2968 5674008.5287))","0557",0.67500000000
"MULTIPOINT ((452179.395 5670406.0212))","0130",5.00000000000
"MULTIPOINT ((367400.8489 5652618.6261))","0052",9.60000000000
"MULTIPOINT ((301773.2022 5743038.9526),(301773.2022 5743038.9526))",,6.24000000000
"MULTIPOINT ((399083.814 5650695.3855))","0490",2.10000000000
"MULTIPOINT ((416828.9443 5797901.208),(416828.9443 5797901.208),(416828.9443 5797901.208),(416828.9443 5797901.208))",,10.40000000000
"MULTIPOINT ((377304.272 5701720.4512),(377304.272 5701720.4512))",,0.62500000000
"MULTIPOINT ((374730.5933 5701567.9054))","0584",0.60000000000
"MULTIPOINT ((390066.4222 5688559.6505))","0345",9.00000000000
"MULTIPOINT ((394938.7584 5794053.5481))","0072",1.60000000000
"MULTIPOINT ((497873.2534 5746608.0724),(497873.2534 5746608.0724))",,7.40000000000
"MULTIPOINT ((446082.2731 5758098.8035))","0037",15.26000000000
"MULTIPOINT ((384373.5509 5688225.0933),(384373.5509 5688225.0933),(384373.5509 5688225.0933))",,47.15000000000
"MULTIPOINT ((480208.3711 5767568.6422))","0577",6.08000000000
"MULTIPOINT ((434219.7346 5734842.0674))","0506",0.60000000000
"MULTIPOINT ((370839.2138 5682218.4799))","0448",0.30000000000
"MULTIPOINT ((485913.5246 5769690.6528))","0534",3.90000000000
"MULTIPOINT ((355277.3199 5676034.3363))","0317",2.00000000000
"MULTIPOINT ((411976.8968 5802171.3171),(411976.8968 5802171.3171),(411976.8968 5802171.3171))",,16.18400000000
"MULTIPOINT ((496612.7173 5793845.7824))","0117",6.66000000000
"MULTIPOINT ((366804.0951 5710174.452))","0358",10.00000000000
"MULTIPOINT ((489862.0912 5791124.1082))","0522",4.00000000000
"MULTIPOINT ((395882.4973 5706947.2317))","0330",0.15000000000
"MULTIPOINT ((375909.5821 5693580.6242))","0447",0.34000000000
"MULTIPOINT ((424357.5742 5712238.105),(424357.5742 5712238.105))",,48.76000000000
"MULTIPOINT ((451278.8561 5700492.7646),(451278.8561 5700492.7646))",,5.55000000000
"MULTIPOINT ((470296.9856 5784123.4694))","0222",29.61000000000
"MULTIPOINT ((364099.5328 5664067.9604))","0525",9.60000000000
"MULTIPOINT ((430650.92 5626561.7118))","0518",6.30000000000
"MULTIPOINT ((333195.3816 5743830.6556))","0152",7.44000000000
"MULTIPOINT ((326893.8434 5681929.9959))","0449",0.32500000000
"MULTIPOINT ((478362.1905 5729944.4221),(478362.1905 5729944.4221))",,28.80000000000
"MULTIPOINT ((327944.3182 5710101.4482))","0566",28.80000000000
"MULTIPOINT ((319493.5902 5603646.1496))","0003",29.00000000000
"MULTIPOINT ((363124.7996 5672502.6402))","0372",4.19000000000
"MULTIPOINT ((292206.9307 5634170.9003))","0550",0.60000000000
"MULTIPOINT ((389202.0053 5720344.0743))","0568",0.66000000000
"MULTIPOINT ((396277.2722 5791078.5658))","0484",4.83000000000
"MULTIPOINT ((411857.1902 5792687.9671),(411909.146 5793024.2021))",,10.20000000000
"MULTIPOINT ((318562.1395 5702809.0766))","0528",14.06000000000
"MULTIPOINT ((477158.8119 5742385.8436))","0520",11.34000000000
"MULTIPOINT ((442445.203 5677810.9568))","0034",12.60000000000
"MULTIPOINT ((418601.9343 5696216.2932))","0499",1.53000000000
"MULTIPOINT ((426960.4774 5794987.3297))","0225",21.15000000000
"MULTIPOINT ((480015.5486 5776160.3901))","0579",4.26000000000
"MULTIPOINT ((384260.3438 5761221.1411))","0323",11.44000000000
"MULTIPOINT ((447155.8401 5750212.783))","0298",9.92000000000
"MULTIPOINT ((474052.6712 5759479.0134))","0440",0.32500000000
